,Receive Times,Recieved Size,Send Size,Process,Time
0,27.377336,4693.333333333333,1483.3333333333335,STT Times,989.381977
1,11.130452,2133.3333333333335,4544.666666666667,STT Times,292.94408699999997
2,18.381038,3029.333333333333,1899.3333333333333,STT Times,369.64414999999997
3,8.098725,1706.6666666666667,1622.0,STT Times,195.79064
4,3.6785509999999997,1493.3333333333335,3574.0,STT Times,216.380189
5,6.572073,2048.0,1942.0,STT Times,254.275588
6,18.682368999999998,2730.6666666666665,2219.333333333333,STT Times,274.470253
7,5.457894,1920.0,2080.6666666666665,STT Times,253.783427
8,11.986735,2261.3333333333335,2358.0,STT Times,274.66954599999997
9,13.883194999999999,2560.0,2358.0,STT Times,331.876601
10,8.704718,1621.3333333333333,1344.6666666666667,STT Times,292.991564
11,5.975499999999999,2090.6666666666665,1622.0,STT Times,254.22999299999998
12,13.058439,2432.0,2923.3333333333335,STT Times,352.007836
13,18.916014,2944.0,4310.0,STT Times,331.59686999999997
14,7.805651999999999,1749.3333333333335,1483.3333333333335,STT Times,274.754556
15,30.311844999999998,5674.666666666667,2731.333333333333,STT Times,566.498733
16,,,2454.0,STT Times,
17,,,2411.3333333333335,STT Times,
18,,,1846.0,STT Times,
19,,,2037.9999999999998,STT Times,
20,,,1664.6666666666667,STT Times,
21,,,1846.0,STT Times,
22,,,1622.0,STT Times,
23,27.377336,4693.333333333333,1483.3333333333335,LLM Times,75.4889
24,11.130452,2133.3333333333335,4544.666666666667,LLM Times,136.242267
25,18.381038,3029.333333333333,1899.3333333333333,LLM Times,87.894533
26,8.098725,1706.6666666666667,1622.0,LLM Times,62.628094
27,3.6785509999999997,1493.3333333333335,3574.0,LLM Times,430.142768
28,6.572073,2048.0,1942.0,LLM Times,117.710625
29,18.682368999999998,2730.6666666666665,2219.333333333333,LLM Times,513.724013
30,5.457894,1920.0,2080.6666666666665,LLM Times,105.652374
31,11.986735,2261.3333333333335,2358.0,LLM Times,133.792144
32,13.883194999999999,2560.0,2358.0,LLM Times,632.458833
33,8.704718,1621.3333333333333,1344.6666666666667,LLM Times,94.004251
34,5.975499999999999,2090.6666666666665,1622.0,LLM Times,85.182895
35,13.058439,2432.0,2923.3333333333335,LLM Times,403.323171
36,18.916014,2944.0,4310.0,LLM Times,162.125073
37,7.805651999999999,1749.3333333333335,1483.3333333333335,LLM Times,93.395614
38,30.311844999999998,5674.666666666667,2731.333333333333,LLM Times,366.451013
39,,,2454.0,LLM Times,129.528302
40,,,2411.3333333333335,LLM Times,667.707649
41,,,1846.0,LLM Times,99.231985
42,,,2037.9999999999998,LLM Times,494.98754299999996
43,,,1664.6666666666667,LLM Times,84.952145
44,,,1846.0,LLM Times,431.74002099999996
45,,,1622.0,LLM Times,134.93470499999998
46,27.377336,4693.333333333333,1483.3333333333335,TTS Times,594.405765
47,11.130452,2133.3333333333335,4544.666666666667,TTS Times,1231.698171
48,18.381038,3029.333333333333,1899.3333333333333,TTS Times,488.073421
49,8.098725,1706.6666666666667,1622.0,TTS Times,429.550573
50,3.6785509999999997,1493.3333333333335,3574.0,TTS Times,952.044938
51,6.572073,2048.0,1942.0,TTS Times,513.298012
52,18.682368999999998,2730.6666666666665,2219.333333333333,TTS Times,575.370238
53,5.457894,1920.0,2080.6666666666665,TTS Times,538.16427
54,11.986735,2261.3333333333335,2358.0,TTS Times,632.027367
55,13.883194999999999,2560.0,2358.0,TTS Times,589.581267
56,8.704718,1621.3333333333333,1344.6666666666667,TTS Times,330.786569
57,5.975499999999999,2090.6666666666665,1622.0,TTS Times,402.814778
58,13.058439,2432.0,2923.3333333333335,TTS Times,773.5188109999999
59,18.916014,2944.0,4310.0,TTS Times,1164.529079
60,7.805651999999999,1749.3333333333335,1483.3333333333335,TTS Times,365.93481299999996
61,30.311844999999998,5674.666666666667,2731.333333333333,TTS Times,718.918038
62,,,2454.0,TTS Times,667.20801
63,,,2411.3333333333335,TTS Times,624.961999
64,,,1846.0,TTS Times,494.51097899999996
65,,,2037.9999999999998,TTS Times,524.473572
66,,,1664.6666666666667,TTS Times,431.344678
67,,,1846.0,TTS Times,444.956342
68,,,1622.0,TTS Times,383.290051
69,27.377336,4693.333333333333,1483.3333333333335,Send Times,1.585977
70,11.130452,2133.3333333333335,4544.666666666667,Send Times,6.227272999999999
71,18.381038,3029.333333333333,1899.3333333333333,Send Times,2.1375379999999997
72,8.098725,1706.6666666666667,1622.0,Send Times,1.5960539999999999
73,3.6785509999999997,1493.3333333333335,3574.0,Send Times,4.506327
74,6.572073,2048.0,1942.0,Send Times,2.156428
75,18.682368999999998,2730.6666666666665,2219.333333333333,Send Times,2.4291039999999997
76,5.457894,1920.0,2080.6666666666665,Send Times,2.341387
77,11.986735,2261.3333333333335,2358.0,Send Times,2.739741
78,13.883194999999999,2560.0,2358.0,Send Times,2.699665
79,8.704718,1621.3333333333333,1344.6666666666667,Send Times,1.270079
80,5.975499999999999,2090.6666666666665,1622.0,Send Times,1.7224439999999999
81,13.058439,2432.0,2923.3333333333335,Send Times,3.489258
82,18.916014,2944.0,4310.0,Send Times,5.393465
83,7.805651999999999,1749.3333333333335,1483.3333333333335,Send Times,1.501347
84,30.311844999999998,5674.666666666667,2731.333333333333,Send Times,3.197297
85,,,2454.0,Send Times,2.855289
86,,,2411.3333333333335,Send Times,2.704544
87,,,1846.0,Send Times,2.023361
88,,,2037.9999999999998,Send Times,2.221043
89,,,1664.6666666666667,Send Times,1.703879
90,,,1846.0,Send Times,2.033833
91,,,1622.0,Send Times,1.7061549999999999
